,0,1,2,3,4
0,Female,22,78,103,81
1,Male,21,82,94,68
2,Female,27,53,53,37
3,Male,23,72,65,36
4,Female,27,78,56,36
5,Female,37,83,71,46
6,Female,20,44,51,34
7,Male,23,74,113,86
8,Female,33,84,99,65
9,Female,40,60,110,83
10,Male,22,44,106,87
11,Female,28,53,68,42
12,Male,28,47,93,76
13,Female,19,51,100,85
14,Female,31,49,110,89
15,Female,33,66,96,69
16,Male,27,91,104,78
17,Female,40,79,100,71
18,Male,27,51,85,68
19,Female,34,60,109,88
20,Female,23,81,77,44
21,Female,32,91,60,30
22,Female,23,71,81,55
23,Male,27,84,87,67
24,Female,20,82,102,71
25,Male,23,42,60,35
26,Female,34,49,73,47
27,Male,21,73,105,85
28,Female,25,63,69,41
29,Male,23,81,81,56
30,Male,39,43,84,64
31,Male,31,40,105,82
32,Female,33,66,74,48
33,Female,39,85,67,32
34,Male,24,46,96,77
35,Female,34,88,106,71
36,Female,27,88,78,52
37,Female,31,49,104,85
38,Female,38,82,89,68
39,Female,30,81,63,36
40,Female,26,69,95,64
41,Female,34,60,73,45
42,Male,31,84,96,66
43,Female,19,68,66,48
44,Female,19,42,58,33
45,Male,32,89,66,45
46,Female,36,86,119,86
47,Male,39,40,55,40
48,Male,19,78,69,51
49,Female,22,57,100,81
50,Female,22,41,81,60
51,Female,34,80,122,89
52,Male,39,48,64,42
53,Male,20,78,64,33
54,Female,30,72,110,81
55,Female,21,49,97,78
56,Male,23,52,103,80
57,Male,20,94,95,63
58,Male,40,48,57,42
59,Female,37,47,105,87
60,Female,36,73,104,82
61,Male,39,63,92,71
62,Male,33,51,109,88
63,Male,39,70,91,66
64,Female,19,71,107,78
65,Female,34,88,67,45
66,Male,22,62,97,70
67,Female,31,83,98,76
68,Female,26,75,70,43
69,Female,24,85,103,82
70,Male,19,49,66,48
71,Male,25,67,111,89
72,Female,38,47,78,59
73,Female,22,55,64,47
74,Female,40,42,71,45
75,Female,30,85,52,31
76,Male,32,59,106,76
77,Male,21,93,102,70
78,Male,36,62,103,73
79,Male,28,58,82,60
80,Female,36,79,64,40
81,Female,38,72,116,89
82,Female,36,50,75,55
83,Male,34,50,51,36
84,Female,24,62,104,79
85,Female,28,44,75,52
86,Male,30,66,81,62
87,Female,23,57,82,63
88,Male,36,84,100,71
89,Female,38,49,98,70
90,Female,33,76,103,80
91,Male,37,74,85,60
92,Male,37,80,81,57
93,Female,35,69,105,83
94,Female,37,43,75,56
95,Male,34,81,111,88
96,Female,24,71,75,53
97,Female,28,90,73,50
98,Male,32,65,98,75
99,Male,39,62,87,70
100,Female,22,83,66,37
101,Male,31,58,51,32
102,Male,33,90,89,66
103,Female,27,72,93,75
104,Male,33,85,60,35
105,Female,33,66,64,45
106,Male,36,55,79,55
107,Female,19,71,110,86
108,Female,31,75,51,31
109,Male,26,93,101,70
110,Male,24,91,99,64
111,Female,40,66,61,31
112,Female,38,69,86,60
113,Female,33,94,109,79
114,Female,30,82,64,39
115,Female,33,65,62,39
116,Male,33,69,111,83
117,Female,25,87,63,41
118,Female,35,83,80,50
119,Female,39,57,102,81
120,Male,30,43,85,71
121,Male,19,44,75,60
122,Male,25,60,62,36
123,Female,22,68,108,83
124,Male,36,57,116,88
125,Female,19,40,86,61
126,Male,20,81,116,84
127,Male,39,94,83,55
128,Female,26,65,94,74
129,Male,20,53,102,79
130,Female,29,55,74,59
131,Male,24,64,99,82
132,Female,34,58,59,34
133,Male,37,53,96,69
134,Female,20,79,75,48
135,Male,20,46,63,38
136,Male,20,44,83,69
137,Male,39,94,98,68
138,Female,30,68,71,47
139,Female,20,64,70,54
140,Female,19,88,87,58
141,Female,35,79,91,67
142,Male,24,73,63,42
143,Male,27,78,76,53
144,Male,30,94,104,73
145,Female,34,47,69,42
146,Male,25,75,69,47
147,Male,34,81,76,48
148,Male,38,56,53,38
149,Female,28,90,114,81
150,Female,32,46,57,40
151,Female,35,44,54,34
152,Female,20,78,95,76
153,Male,31,41,58,46
154,Male,25,41,64,39
155,Male,22,85,54,32
156,Female,20,57,68,44
157,Female,40,84,112,85
158,Female,25,91,105,78
159,Female,34,42,107,89
160,Male,32,56,83,66
161,Female,33,84,108,82
162,Female,30,72,94,74
163,Male,32,76,99,80
164,Female,20,66,68,42
165,Female,32,88,102,74
166,Female,32,92,86,50
167,Female,28,59,107,81
168,Male,29,71,74,54
169,Female,40,78,87,65
170,Female,21,61,101,75
171,Male,36,70,62,40
172,Female,29,42,66,47
173,Male,23,64,48,32
174,Female,36,64,68,43
175,Female,23,53,107,87
176,Female,35,65,90,64
177,Male,32,42,107,85
178,Male,20,73,103,82
179,Male,26,42,52,37
180,Male,30,71,60,37
181,Male,37,89,97,63
182,Female,38,93,103,77
183,Male,21,54,54,36
184,Female,28,72,75,57
185,Male,39,56,72,43
186,Male,40,53,99,70
187,Female,38,86,62,30
188,Male,22,88,87,58
189,Male,37,52,60,42
190,Male,24,54,82,61
191,Female,28,88,106,83
192,Female,24,90,78,47
193,Male,38,69,88,69
194,Female,22,85,87,59
195,Female,40,87,90,68
196,Female,23,74,82,54
197,Male,20,65,108,79
198,Female,37,68,108,80
199,Male,33,68,81,60
200,Female,40,61,65,48
201,Male,32,91,88,53
202,Female,39,62,87,71
203,Female,37,51,82,64
204,Female,30,78,53,30
205,Male,37,70,71,46
206,Female,33,63,96,65
207,Male,29,49,86,67
208,Male,19,89,51,31
209,Female,30,79,59,34
210,Male,29,57,93,65
211,Female,29,92,85,57
212,Female,36,87,113,85
213,Male,25,66,103,87
214,Male,23,85,107,74
215,Male,34,60,63,47
216,Male,22,60,110,86
217,Female,39,40,75,51
218,Female,25,78,62,33
219,Male,21,72,114,84
220,Male,37,93,119,84
221,Female,34,82,79,55
222,Female,30,48,99,83
223,Male,21,76,72,43
224,Male,24,74,96,68
225,Male,36,62,64,36
226,Male,23,81,78,51
